"hour","magnitude","probability","count","is_most_probable"
23,"0-1 magnitude","0.0356","1847","0"
22,"0-1 magnitude","0.0366","1898","0"
21,"0-1 magnitude","0.0380","1971","0"
20,"0-1 magnitude","0.0386","2003","0"
19,"0-1 magnitude","0.0400","2077","0"
16,"0-1 magnitude","0.0410","2130","0"
15,"0-1 magnitude","0.0433","2245","0"
14,"0-1 magnitude","0.0453","2353","0"
2,"0-1 magnitude","0.0377","1957","0"
1,"0-1 magnitude","0.0371","1928","0"
0,"0-1 magnitude","0.0357","1854","0"
9,"0-1 magnitude","0.0451","2339","0"
8,"0-1 magnitude","0.0443","2301","0"
7,"0-1 magnitude","0.0456","2369","0"
18,"0-1 magnitude","0.0382","1982","0"
17,"0-1 magnitude","0.0411","2133","0"
6,"0-1 magnitude","0.0423","2198","0"
5,"0-1 magnitude","0.0442","2292","0"
13,"0-1 magnitude","0.0479","2485","0"
12,"0-1 magnitude","0.0485","2519","1"
4,"0-1 magnitude","0.0423","2196","0"
3,"0-1 magnitude","0.0401","2082","0"
11,"0-1 magnitude","0.0471","2447","0"
10,"0-1 magnitude","0.0443","2301","0"
11,"1-2 magnitude","0.0410","2092","0"
10,"1-2 magnitude","0.0400","2039","0"
9,"1-2 magnitude","0.0418","2133","0"
18,"1-2 magnitude","0.0397","2024","0"
17,"1-2 magnitude","0.0413","2107","0"
14,"1-2 magnitude","0.0412","2103","0"
15,"1-2 magnitude","0.0422","2153","0"
16,"1-2 magnitude","0.0394","2013","0"
22,"1-2 magnitude","0.0418","2131","0"
21,"1-2 magnitude","0.0468","2390","1"
23,"1-2 magnitude","0.0412","2101","0"
20,"1-2 magnitude","0.0429","2187","0"
19,"1-2 magnitude","0.0420","2143","0"
7,"1-2 magnitude","0.0423","2161","0"
8,"1-2 magnitude","0.0427","2177","0"
1,"1-2 magnitude","0.0451","2303","0"
2,"1-2 magnitude","0.0416","2125","0"
0,"1-2 magnitude","0.0407","2075","0"
4,"1-2 magnitude","0.0396","2021","0"
3,"1-2 magnitude","0.0412","2103","0"
6,"1-2 magnitude","0.0418","2131","0"
5,"1-2 magnitude","0.0413","2110","0"
13,"1-2 magnitude","0.0405","2066","0"
12,"1-2 magnitude","0.0420","2142","0"
12,"2-3 magnitude","0.0376","577","0"
13,"2-3 magnitude","0.0385","591","0"
8,"2-3 magnitude","0.0430","660","0"
7,"2-3 magnitude","0.0395","607","0"
15,"2-3 magnitude","0.0405","621","0"
16,"2-3 magnitude","0.0401","616","0"
14,"2-3 magnitude","0.0423","650","0"
10,"2-3 magnitude","0.0416","638","0"
9,"2-3 magnitude","0.0433","665","0"
11,"2-3 magnitude","0.0423","649","0"
17,"2-3 magnitude","0.0412","633","0"
18,"2-3 magnitude","0.0429","659","0"
19,"2-3 magnitude","0.0381","585","0"
20,"2-3 magnitude","0.0389","597","0"
23,"2-3 magnitude","0.0478","733","1"
21,"2-3 magnitude","0.0433","664","0"
22,"2-3 magnitude","0.0416","639","0"
6,"2-3 magnitude","0.0414","636","0"
5,"2-3 magnitude","0.0432","663","0"
1,"2-3 magnitude","0.0429","659","0"
0,"2-3 magnitude","0.0401","616","0"
2,"2-3 magnitude","0.0433","665","0"
4,"2-3 magnitude","0.0444","682","0"
3,"2-3 magnitude","0.0420","645","0"
3,"3-4 magnitude","0.0440","177","0"
4,"3-4 magnitude","0.0428","172","0"
2,"3-4 magnitude","0.0421","169","0"
20,"3-4 magnitude","0.0406","163","0"
19,"3-4 magnitude","0.0388","156","0"
14,"3-4 magnitude","0.0366","147","0"
15,"3-4 magnitude","0.0378","152","0"
13,"3-4 magnitude","0.0396","159","0"
12,"3-4 magnitude","0.0333","134","0"
7,"3-4 magnitude","0.0403","162","0"
8,"3-4 magnitude","0.0413","166","0"
18,"3-4 magnitude","0.0391","157","0"
17,"3-4 magnitude","0.0398","160","0"
16,"3-4 magnitude","0.0403","162","0"
11,"3-4 magnitude","0.0403","162","0"
10,"3-4 magnitude","0.0398","160","0"
9,"3-4 magnitude","0.0418","168","0"
0,"3-4 magnitude","0.0483","194","0"
1,"3-4 magnitude","0.0373","150","0"
22,"3-4 magnitude","0.0580","233","1"
23,"3-4 magnitude","0.0478","192","0"
21,"3-4 magnitude","0.0557","224","0"
5,"3-4 magnitude","0.0373","150","0"
6,"3-4 magnitude","0.0373","150","0"
6,"4-5 magnitude","0.0362","404","0"
5,"4-5 magnitude","0.0344","384","0"
4,"4-5 magnitude","0.0363","405","0"
16,"4-5 magnitude","0.0477","532","0"
18,"4-5 magnitude","0.0470","525","0"
17,"4-5 magnitude","0.0486","542","0"
15,"4-5 magnitude","0.0438","489","0"
14,"4-5 magnitude","0.0417","465","0"
2,"4-5 magnitude","0.0413","461","0"
3,"4-5 magnitude","0.0344","384","0"
19,"4-5 magnitude","0.0487","544","1"
20,"4-5 magnitude","0.0451","503","0"
